Etappennummer;Titel;Kurztext;Streckenbeschreibung;Ausgangspunkt;Endpunkt;Höhenmeter bergauf;Höhenmeter bergab;Höchster Punkt;Schwierigkeitsgrad;Streckenlänge (in km);Gehzeit (in Stunden);Einkehrmöglichkeiten;ID in GPS-Track
22;Adlerweg-Etappe 22: Memminger Hütte – Ansbacher Hütte;Diese Etappe am Adlerweg führt durch den unberührtesten Teil der Lechtaler Alpen. Sie hält neben Stille und Einsamkeit auch herrliche Aussichtspunkte und Naturerlebnisse bereit: weidende Schafe, Zirben- und Lärchenwälder und saftig grüne Almen erfreuen das Auge, gemütliche Hütten sorgen für zünftige Verpflegung.;Von der Memminger Hütte auf einem schmalen, lehmigen und bei Nässe rutschigen Steig zunächst direkt und bald recht jäh über Wiesenhänge hinab in Richtung Parseiertal. In der Folge quert der Steig (Wiesen)hänge (mehrmals durch Tobel) und zieht dann wieder südwestlich hinunter ins Parseiertal (Drahtseile im unteren Bereich). Dieser erste Abschnitt verläuft meist in abschüssigem Gelände. Auf der anderen Seite auf tadellosem Steig vorerst mäßig steil durch lichten Wald, später schärfer durch Wiesengelände empor. Man gelangt in der Folge ins Langkar, an dessen rechter Seite (im Spätsommer neben dem Schneefeld) der sehr gute Steig (kaum Geröll) mäßig ansteigend verläuft. Später wird die Route steiler und zieht nach links hinüber. Schließlich durch eine Art Kamin (seilversichert) recht steil und teilweise auf schwarzer Erde (Achtung bei Nässe!) nach oben zur Grießlscharte. Anschließend mit leichtem Höhenverlust und kurzem Gegenanstiegrecht steil und teilweise auf hinüber zum Winterjoch (kurz unterhalb des Winterjochs zweigt der Augsburger Höhenweg ab). Vom Winterjoch ein kleines Stück, über Schutt abwärts, hinter dem Stierkopf vorbei und jetzt felsiger empor zur Kopfscharte. Von der Kopfscharte quert der Steig die Grashänge und zieht schließlich – etwas an- und absteigend – nach Süden zur Ansbacher Hütte.;Memminger Hütte;Ansbacher Hütte;1040;900;2625;schwierig;10;6;Memminger Hütte#Ansbacher Hütte;A22
23;Adlerweg-Etappe 23: Ansbacher Hütte – Kaiserjochhaus;Diese anspruchsvolle Adlerweg-Etappe, die mit einem herrlichen Panoramablick auf die Ötztaler Alpen belohnt, führt hoch über dem Stanzertal durch Schuttreisen, Kare und Schrofen. Etappenziel ist die Ansbacher Hütte.;Von der Ansbacher Hütte sanft ansteigend auf einem guten Steig hinauf zum Flarschjoch(kurz unterhalb des Jochs Abzweigemöglichkeit zur Memminger Hütte). Vom Flarschjoch führt der Steig durch Schutt und Wiesen sanft hinunter Richtung Knappenböden und dann durch Schuttreisen fast eben hinüber zum Alperschonjoch mit dem kleinen Kreuz. Nun fällt der Steig zunächst ein wenig ab, ehe er (in Serpentinen) wieder nach oben führt und schließlich zum Vordersee hinunter leitet. Diese Passage durch die Südabbrüche der Vorderseespitze heißt Haas-Weg. Der Haas-Weg quert meist Wiesen, sowie abschüssige, schrofige Felsflanken und Rinnen (vielfach versichert). Ab dem Vordersee geht es vorerst mäßig steil in Richtung Hinterseejoch. Zum Joch hin nimmt der Steig deutlich an Steilheit zu und zieht in Serpentinen auf erdigem Grund zu der Einsattelung. Jenseits des Hinterseejochs geht es – abermals in Serpentinen – mäßig steil hinab. Der Steig quert dann leicht abfallend die Schuttreisen hinüber Richtung Westen und steigt ein Stück unter der Kridlonscharte erneut an (in diesem Bereich erdiger, mitunter rutschiger Untergrund). Schließlich etwas ausgesetzt im Fels mit Hilfe von Drahtseilen durch einen Kamin empor zur Kridlonscharte. Auf der anderen Seite durch Bergwiesen hinunter und an einer Felsnase vorbei. Der Steig leitet nach Westen und quert die Hänge zum Kaiserjochhaus. Dabei führt die stellenweise sehr schmale Route durch steiles, abschüssiges und felsiges Gelände (zahlreiche versicherte Passagen) und stets ein wenig auf und ab. Die letzten Meter durch Wiesen ans Ziel.;Ansbacher Hütte;Kaiserjochhaus;520;580;2481;schwierig;8,5;5;Ansbacher Hütte#Kaiserjochhaus;A23
24;Adlerweg-Etappe 24: Kaiserjochhaus – St. Christoph am Arlberg;Diese letzte Etappe am Nordtiroler Adlerweg führt vom Kaiserjochhaus nach St. Christoph am Arlberg. Die Route führt durch Almwiesen und Berghänge, speziell zwischen Kaiserjochhaus und Leutkircher Hütte sollte man Innehalten und dem Pfeifen der Murmeltiere lauschen. ;Vom Kaiserjochhaus auf dem Steig in Richtung Westen auf eine grünbewachsene Bergkuppe steigen, Seilsicherungen helfen dabei. Weiter geht es in einen Kessel mit schönen Bergwiesen. Der Steig quert die Wiesenhänge und zieht auf den Sattel zwischen Schindlekopf und Bergleskopf hinauf. Vom Sattel hinunter in einen weiteren grünen Kessel und durch die Geißwasen (Wiesengelände) quer hinüber nach Westen wandern. Am Ende der Geißwasen über eine Kuppe und weiter hinunter zur Leutkircher Hütte. Diese liegt auf 2.251 Meter am östlichen Rand des weitläufigen, schrofigen Almajurjochs. Der Steig ist bis hierher zumeist sehr lehmig, nun wird er fester. Von der Leutkircher Hütte westwärts vorbei am Almajurjoch zum Bacheregg. Hier gibt es eine Abzweigung Oberer und Unterer Höhenweg. Der Adlerweg folgt vorerst dem leichteren Unteren Höhenweg (links) durch steiles, felsdurchsetztes Gelände zum Kapallkopf (teils seilversichert). Nach langen, strengen Wintern und kaltem Frühjahr hält sich der Schnee hier lange in einer Rinne. Nun geht es ca. 50 Höhenmeter in Serpentinen hinauf zum Oberen Höhenweg und weiter Richtung Westen durch das „Matun“ (Kessel) hinauf zum Matunjoch. Weiter zum Valfagehrjoch, dann vorbei an den Gipslöchern (Dolinen) hinunter zur Ulmer Hütte. Der Blick in Richtung Westen zur Schweizer Grenze offeriert hier grandios die Berge des Rätikon: Zimba, Schesaplana, Drusenfluh, Sulzfluh … Nach einer Rast bei der Ulmer Hütte biegt man links ab, hinunter Richtung Galzig, und wandert über grüne Bergwiesen durch das Arlberg-Skigebiet zum Speicherteich, quert oberhalb der Talstation Schindlergratbahn und wechselt dann auf den Panoramaweg, der westlich vorbei am Senderturm Galzig bis zur Bergstation führt.  Anschließend auf dem Maienweg durch Latschenfelder zum Maiensee, an diesem rechts vorbei, die Transportstraße rechts von der Brücke queren und dem kleinen Fußweg zur St. Christoph Alm folgen. Von hier führt die Almstraße bis zur Arlbergpass-Straße, wo einen die letzten Schritte dieser schönen Schluss-Etappe des Adlerweges zum Arlberg Hospiz Hotel in St. Christoph bringen.;Kaiserjochhaus;St. Christoph am Arlberg;950;1450;2553;mittelschwierig;17,5;3;Kaiserjochhaus#Leutkircher Hütte#Ulmer Hütte;A24
O1;Adlerweg-Etappe O1: Ströden – Johannishütte;Die erste Etappe am Adlerweg in Osttirol führt von Ströden in der Nähe der berühmten Umbalfälle bis zur Johannishütte, der ältesten Hütte in den Ostalpen. Die Route führt hinauf zu gleißenden Gletschern und vorbei an tosenden Wasserfällen und sprudelnden Gletscherbächen.;Ausgangspunkt ist der Parkplatz in Ströden, von dort geht es nach der Brücke dem Maurerbach entlang hinauf zur Jausenstation Stoanalm auf 1.450 Meter. Auf der orografisch linken Bachseite führt der Fahrweg zur Talstation der Materialseilbahn. Weiter auf einem Steig eine lärchenbewachsene Talstufe empor. Nach ca. zwei Dutzend Steigkehren gelangt man hinauf zur Göriacher Ochsnerhütte (1.948 Meter). Weiter führt der Steig, noch immer in Bachnähe, über drei sanfte Steigungen ins Vorfeld der gletscherbedeckten Venedigerberge und zur Brücke bei der oberen Ochsnerhütte am Maurerbach. Der kraftvolle Gletscherbach trennt die Göriacher von der westlich gelegenen Maurer Alpe. Nun geht es bereits in den Schlusshang hinauf zur Essener-Rostocker Hütte, im Moränengebiet des inzwischen weit zurückgezogenen Simonykees´. Nach einer verdienten Pause wandert man von der Essener-Rostocker Hütte über den Schweriner Weg weiter. In Kehren überwindet er eine Bergflanke und quert nach ca. einer Stunde Gehzeit den Südwest-Hang des Kleinen Geigers. Nun geht es über eiszeitliche Schleifspuren und weit gestreute Schuttfelder Richtung Türml mit seinem hellen roten Fels. An seinem Fuß liegt das Türmljoch (2.772 Meter). Östlich davon führt der in Schleifen angelegte Steig durch Schneemulden und über Schuttböden und in weiterer Folge den Dorferkamm-Osthang hinab. Ca. ¼ Stunde später schwenkt man, einige Rinnsale übersteigend, nach Nordosten. Dann bewältigt der Steig noch eine dem Gelände angepasste Wende in Richtung Süden über einen Berghang, der zum Dorfer Bach hinunterführt, wo man schöne Felsschliffe bewundern kann. Schließlich geht es am Gedenkkreuz vorbei und über den Zettalunitzbach das letzte Stück zur urigen und geräumigen Johannishütte (2.121 Meter). Wegbeschreibungen siehe auch: „Osttiroler Wanderbuch“ von Walter Mair.;Ströden;Johannishütte;1430;730;2773;mittelschwierig;13;6,5;Stoanalm#Essener- und Rostocker Hütte#Johannishütte;O1
O2;Adlerweg-Etappe O2: Johannishütte – Eisseehütte;Entlang dieser Adlerweg-Etappe begeistern tolle Ausblick auf die benachtbarten Gletscherberge. Die Route führt von der Johannishütte über den Sajat-Höhenweg und vorbei an der Sajathütte zur Eisseehütte. ;Von der Johannishütte führt der Venediger Höhenweg bzw. Adlerweg Richtung Osten und erreicht bald auf einem Kehrensteig die scharf hervortretende Zopetkante. Danach geht es weiter durch steiles Bergwiesengelände, wobei man vereinzelt Steinmännchen zu Gesicht bekommt. Ab und zu lohnt sich ein Innehalten, um einen Blick auf die gleißenden Gletscher des Großvenedigers zurückzuwerfen. Nach ca. einer Stunde öffnet sich ein kleines Hochtal, man hält sich dort beim Wegweiser südlich Richtung „Sajatscharte“. Nach der Querung eines Blockfeldes gelangt man in hochalpines Gelände mit Steiganlage. Relativ breit und sicher, teilweise mit Stahlseilen versehen, quert der Weg die Steilflanke und führt zur Schernersschlucht, ehe er über einige Kehren im felsigen Gelände die Sajatscharte erreicht. Von hier dauert der Abstieg zur Sajathütte ca. ½ Stunde. Dabei geht es zuerst eine Schuttrinne hinunter, dann weiter auf sandigem Boden am Fuß der Roten Säule, bevor man über einen Rasenhang zur Sajathütte (2.575 Meter) gelangt. Eine willkommene Zwischenstation zur kulinarischen Stärkung, bevor man auf dem Prägratner-Höhenweg in Richtung Eisseehütte weitermarschiert. Dieser Steig verbindet die Sajathütte mit der Eisseehütte, ohne dass man dazu ins Tal absteigen muss. Man verlässt die Sajathütte in Richtung Osten und umschreitet beim sogenannten „Fenster“ den Vorderen Sajatkopf auf dessen auslaufendem Südostgrat. Dort wendet sich der Steig Richtung Norden. Die zu querenden Steilrinnen sind wieder mit einer Steiganlage gut begehbar gemacht. Auch ein Hanganstieg ist durch bequeme Kehren entschärft. Weiter geht es durchs innere Timmeltal  bis zur Ortsbezeichnung „Hinteres Wiesach“, wo sich das Gelände wieder gemäßigter zeigt. Nun noch das letzte Stück über den Timmelbach zur gemütlichen Eisseehütte (2.521 Meter). Wegbeschreibungen siehe auch: „Osttiroler Wanderbuch“ von Walter Mair.;Johannishütte;Eisseehütte;1020;620;2788;mittelschwierig;10;6;Neue Sajathütte#Eisseehütte;O2
O3;Adlerweg-Etappe O3: Eisseehütte –  Bonn-Matreier-Hütte;Gipfelerlebnisse noch und noch, selbst wenn man die Gipfel nicht erklimmt, sondern auf dem Venediger Höhenweg daran vorbeiwandert warten auf dieser Etappe von der Eisseehütte bis zur Bonn-Matreier-Hütte.;Von der Eisseehütte steigt man ein kurzes Stück zu den Wegtafeln des Venediger Höhenwegs hinab, wo dieser in den linken östlichen Hangbereich des Timmeltals lenkt. Die Überschreitung des auslaufenden Südwestkammes vom Hexenkopf ist leicht zu bewältigen, gleich darauf überwindet man den westlich auslaufenden Felsgrat des Hohen Eicham. Der bisher leicht und nahezu eben verlaufende Steig wird nun schärfer, denn er stößt auf den Westausläufer der Wunwand, mit der man eine Zeitlang auf Tuchfühlung bleibt. Steinerne Treppen dienen der Sicherheit, auch ein Stahlseil ist auf einem kurzen Wegstück gespannt. Es geht noch einige Kehren hinauf, man quert eine Wiesenflanke, etwa einen Kilometer bis zum Wunwand-Südwestgrat. In diesem Bereich gibt es eine Abzweigmöglichkeit zur Wallhornalm im Timmeltal, der Höhenweg führt aber weiter über eine Wiesenflanke südlich der Wunwand bis zum ausklingenden Südgrat der Wunspitze. Dort steigt man ca. ½ Stunde zu einer Felsnische hinauf. Ein Stück höher teilt sich der Steig und man könnte nach links zur Oberen und rechts zur Unteren Wunalm gelangen. Die Route des Venediger Höhenwegs verläuft nun hoch über dem Virgental, zum Teil unter den Bruchstücken eines alten Felssturzes hindurch und führt schließlich auf den Eselsrücken, der den Zugang zum Großen Niltal öffnet. 15 enge Kehren führen von der Anhöhe durch eine schmale Rasenrinne hinab auf den Sandboden. Dort ein paar Schritte über den schmächtigen Abfluss aus dem Nilkees. Das Etappenziel, die Bonn-Matreier-Hütte, ist dabei längst schon in Sicht. Auf einem guten Steig und über in den Fels gehauene Steinstufen gelangt man in den Bereich des stattlichen, schindelverkleideten Schutzhauses, das beste Verpflegung offeriert. Wegbeschreibungen siehe auch: „Osttiroler Wanderbuch“ von Walter Mair.;Eisseehütte;Bonn-Matreier-Hütte;600;370;2750;mittelschwierig;7;3,5;Bonn-Matreier-Hütte;O3
O4;Adlerweg-Etappe O4: Bonn-Matreier Hütte  –  Badener Hütte;Auf dieser schwierigen, vierten Adlerweg-Etappe in Osttirol geht es von der Bonn-Matreier-Hütte bis zur Badener Hütte. Dabei passiert man die Schärfere Galtenscharte und arbeitet sich Schritt für Schritt immer weiter zum Hoheitsgebiet des Großglockners vor.;Ein Stück oberhalb der Bonn-Matreier Hütte (ca. 8-10 Minuten Gehzeit), zweigt bei Wegtafeln der Steig nach rechts ab. Man durchschreitet einen steinigen Bergtrog und erreicht schließlich die schrägen Felstürme der Kälberscharte (2.791 Meter). Auf beiden Seiten der Scharte erleichtern Treppen und Stahlseile den Übergang ins Kleine Niltal, so bezwingt man auch den Aufstieg zur höher gelegenen Galtenscharte relativ problemlos. Nun erfolgt der steile, fordernde Abstieg hinunter zum Mailfroßnitzbach, obwohl man die 600 Höhenmeter später wieder wett machen muss. Der obere Teil des Steilstückes ist stahlseilversichert, im Mittelstück erwartet einen oft auch im Sommer ein hartnäckiges, steiles Schneefeld. Wenn man Glück hat und der Wegabschnitt schneefrei ist, verläuft der Steig durchgehend. Weiter unten wird das Gelände flacher, der Abstieg endet bei der Brücke über den Mailfroßnitzbach. Etwa 40 Meter unterhalb der Brücke befindet sich die Fortsetzung des Steiges. Hoch über dem Froßnitztal quert man nun die grünen Hänge der Hohen Achsel von Süden nach Norden und passiert dabei landschaftlich sehr abwechslungsreiche Teilstücke. Kurze Stellen sind stahlseilversichert, man kommt an zahlreichen kleinen Bächen vorbei. Auf der sogenannten Achsel befindet sich ein grasumwachsener, von einer Moräne abgedichteter Tümpel. Hier verbindet sich der Venediger Höhenweg mit dem Talweg. Es geht weiter in Richtung „Badener Hütte“, wobei man eng hintereinander gereihte Moränen und schließlich die Brücke am Froßnitzbach überschreitet. Es folgen einige Rücken und Mulden, die den Schneehühnern Schutz bieten. Schließlich gelangt man zur Seitenmoräne des Frosnitzkees´, dort hält man sich rechts und wandert weiter, bis man das Etappenziel, die Badener Hütte (2.608 Meter) am Großvenediger, erreicht. Wegbeschreibungen siehe auch „Osttiroler Wanderbuch“ von Walter Mair.;Bonn-Matreier-Hütte;Badener Hütte;800;950;2872;schwarz;10;5;Badener Hütte;O4
O5;Adlerweg-Etappe O5: Badener Hütte  –  Matreier Tauernhaus;Ein wunderbares Gletscherpanorama wartet entlang dieser Adlerweg-Etappe in Osttirol. Über den Venediger Höhenweg führt die Route nach Osten zum Venedigerhaus von Innergschlöss und schließlich weiter bis zum Etappenziel, dem Matreier Tauernhaus.;Von der Badener Hütte (2.608 Meter) wandert man zuerst über den Venediger Höhenweg bzw. Adlerweg (hier auch Badener Weg) nordwärts ca. eine Stunde hinauf zum Löbbentörl (2.770 Meter). Dabei sind einige felsdurchzogene Rinnen und kleine Schluchten seilversichert.  Über eine kurze Halde steigt man weiter zum Löbbentörl hinan, wo im Schutz eines Felsens ein Kreuz und eine Gedenktafel stehen. Von nun an geht es steil bergab. Der nordseitige Abstieg mit kurzen Seilstellen führt auf Fels-Rasen-Rücken und Altschnee hinunter zur Seitenmoräne des Schlatenkees´. Auf dieser Moräne steigt man weiter ab. Am Unteren Keesboden gibt es einen Übergang zur Alten Prager Hütte (nicht bewirtschaftet),  hier kann man auch zum faszinierenden Gletscherschaupfad „Innergschlöss“ abzweigen. Der Venediger Höhenweg passiert den Salzbodensee (2.731 Meter), in dem sich Hoher Zaun und Schwarze Wand spiegeln. Nördlich des gletscherweißen Gschlössbaches wendet sich der Weg scharf nach Osten. Im gletschernahen, gut geführten Venedigerhaus (1.689 Meter) lässt sich eine gemütliche Rast einschieben. Entlang des Gschlössbaches geht es dann weiter talauswärts, zwischen den Almen von Inner- und Außergschlöss bietet sich ein Innehalten bei der alten Felsenkapelle an. Eine Einkehr weltlicher Art ist im Berghaus Außergschlöss (1.700 Meter) empfehlenswert. Das Tal weitet sich nun. Von Gschlöss geht es noch ca. eine Stunde sanft über nicht einmal 200 Höhenmeter bergab zum Matreier Tauernhaus (1.512 Meter), wo man nach den langen fordernden Abstiegen dieser Etappe vermutlich etwas knieweich ankommt. Hier kann man sich ausruhen, feine regionale Schmankerln genießen und komfortabel übernachten. Wegbeschreibungen siehe auch: „Osttiroler Wanderbuch“ von Walter Mair.;Badener Hütte;Matreier Tauernhaus;450;1550;2768;schwarz;14;5,5;Venedigerhaus#Matreier Tauernhaus;O5
O6;Adlerweg-Etappe O6: Matrei in Osttirol – Sudetendeutsche Hütte;Ausgehend vom Matreier Tauernhaus verläuft diese Etappe am Osttiroler Adlerweg bis zur Sudetendeutschen Hütte. Auf der Route gilt es ziemlich viele kraftraubende Höhenmeter zu absolvieren, die Mühen werden mit faszinierenden Ausblicken auf die Lasörlinggruppe belohnt.;Am besten startet man diese Etappe beim Parkplatz im Weiler Glanz, dann spart man sich zwei Stunden Anmarsch. Von Matrei in Osttirol kann man mit dem PKW (Taxidienst auf Anfrage) in 20 Minuten dorthin gelangen. All jene, die auch diesen ersten Streckenabschnitt zu Fuß bewältigen wollen, gelangen über den wenig befahrenen Fahrweg von Matrei über Hinterburg zum Parkplatz. Vom Parkplatz in Glanz kommt man in 1 ½  bis 2 Stunden zur Äußeren Steiner Alm und in weiteren 2 bis 2 ½ Stunden zur Sudetendeutschen Hütte. Der Steig führt großteils durch einen Wald mit uralten Lärchen, vorbei an der Köfler-Almhütte (Privatalm). Im Bereich der Ranzeralm quert man zweimal den Fahrweg. Etwas oberhalb der Lackner-Almhütte beginnt ein Karrenweg, der an einer Quelle vorbeiführt, ehe er von Osten nach Westen die Edelweißwiese durchzieht. Wer nicht durch den Wald wandern möchte, kann auch vom Parkplatz Glanz entlang der Forststraße bis zum Beginn der Edelweißwiese gehen. Nach einer Felskante fällt der durch ein Geländer geschützte Steig in den lichten Lärchenwald leicht ab. Über den Steinerbach gelangt man zu den Almhütten der Äußeren Steiner Alm (1.914 Meter), von der Äußeren Steiner Alm geht es in der flachen Trogtalsohle nordöstlich weiter in Richtung Talschluss. Kleine Lärchenhaine und gewaltige Grünschieferblöcke prägen diesen romantischen Wegabschnitt. Am Ende des Talschlusses führt eine Materialseilbahn zur Sudetendeutschen Hütte, hier befand sich früher eine Förderstätte des Eisenerz-Bergbaus, deshalb wird der Talwinkel als „Schmelzhütte“ bezeichnet. Der Steig zur Sudetendeutschen Hütte führt zuerst nah am Steinerbach hinauf, dann windet er sich in Kehren über die Wiesenhänge empor, wobei man den Nussingkogel zur linken und die Bretterwandspitze zur rechten Seite hat. Schließlich wird das Gelände mit seinen von den Gletschern geformten Kuppen etwas flacher und schon befindet man sich im Nahbereich der geräumigen Sudetendeutschen Hütte (2.650 Meter) inmitten der Granatspitzgruppe. Wegbeschreibungen siehe auch: „Osttiroler Wanderbuch“ von Walter Mair.  ;Matreier Tauernhaus;Sudetendeutsche Hütte;1250;100;2656;mittelschwierig;8;4;Steiner Alm#Sudetendeutsche Hütte;O6
O7;Adlerweg-Etappe O7: Sudetendeutsche Hütte  –  Kalser Tauernhaus;Die Granatspitzgruppe im zentralen Bereich der Hohen Tauern fügt sich in das beeindruckende Bergpanorama dieser Adlerweg-Etappe, die von der Sudetendeutschen Hütte zum Kalser Tauernhaus führt. Dabei kommt man auf dem Teilabschnitt der „Glockner-Runde“ dem Großglockner immer näher.;Von der Sudetendeutschen Hütte wandert man am Gedenkkreuz und am hüttennahen kleinen Bergsee vorbei über Rasenrücken und bemooste Mulden hinauf ins Abflussgebiet des Gradötzkees´, wo sich ebenfalls ein See angestaut hat und mächtige Moränen die Landschaft prägen. Schließlich erreicht man den Gradötzsattel (2.826 Meter), danach geht es hinunter, dem sogenannten Bloipalfen (2.684 Meter) entgegen. Anschließend weiter bergab über ein Wiesenstück und klammartig gelagerte Felsen. Auf ca. 2.500 Meter Höhe zweigt der Silesiaweg links ab. Er führt in wenigen Minuten Gehzeit auf die felsige Muntanitzschneid mit grandioser Aussicht, auf dem Adlerweg bleibend hält man sich jedoch rechts und erreicht schließlich den Muntanitzbach, der bei starker Wasserführung nicht so einfach - vor allem nicht trockenen Fußes - zu überwinden ist. Ein Stück oberhalb des Gebietes der Ochsenalm umschreitet man den auslagernden Rücken der Muntanitzschneid. Der Weg ist hier gut ausgebaut, im unteren Teil vollführt er einen kleinen Knick und weist eine felsige Stelle auf. In weiterer Folge geht es über Wiesenhänge hinunter und man durchstreift in nördlicher Richtung ein kleines Zirbenwäldchen. Man gelangt schließlich zu einer Hinweistafel zur Brücke am Stotzbach mit zufließendem Loamesbach. Bei der etwas tiefer stehenden Wegtafel wählt man den Abstieg, bez. 514 A, zum Kalser Tauernhaus. Auf zahlreichen engen Kehren wandert man nun am Wilhelm-Ernst-Weg zwischen Erlen, Eschen und Lärchen im Zickzack talwärts, an der Nationalpark-Aussichtskanzel vorbei, wo ein Wasserfall des Stotzbaches über eine von eiszeitlichen Gletschern geschaffene Trogschulter in die Tiefe wirbelt. Schließlich geht es über den Dorferbach zum Etappenziel, dem gemütlich eingerichteten Kalser Tauernhaus (1.755 Meter). Dieses befindet sich im hinteren Teil des Dorfertales, nur ein kleines Stück unterhalb jener Stelle, wo der Stotzbach in den Dorferbach mündet. Wegbeschreibungen siehe auch: „Osttiroler Wanderbuch“ von Walter Mair.;Sudetendeutsche Hütte;Kalser Tauernhaus;300;1200;2828;mittelschwierig;8;4;Kalser Tauernhaus;O7
O8;Adlerweg-Etappe O8: Kalser Tauernhaus - Stüdlhütte;Zollspitze, Säulspitze, Bretterspitze, Kristallspitze, Kreuzwandspitze: Entlang dieser Adlerweg-Etappe zur Stüdlhütte am Fuße des Großglockners grüßen zahlreiche markante Gipfel.;Vom Kalser Tauernhaus verläuft der Adlerweg bis zur Moaalm ständig in Richtung Süden durch das liebliche Dorfertal auf einem breiten Almweg leicht abwärts. Man passiert dabei u.a. die Kalseralmen der Rumesoi-und Schönebene. Bald nach der Jausenstation Bergeralm zweigt bei der Moaebene links der Weg Nr. 40 über einen Trittsicherheit erfordernden Steig („die Stiege“), hinauf zur Moaalm (1.793 Meter), oberhalb von Kals. Weiter abwärts über die Moaalmstraße bis zur Brücke am Teischnitzbach, wo nach etwa 70 Meter bei einer Zaunlücke eine Wegtafel ins Teischnitztal weist. Dieses ist noch sehr ursprünglich und begeistert ebenfalls mit landschaftlicher Schönheit. Von dort führt ein Almweg auf der lärchenbewachsenen rechten Talseite empor. Es gibt aber auch einen abkürzenden Steig, der den Almweg mehrmals kreuzt. Er passiert beim Maurigen Trog (2.101 Meter), die schmale, 800 Meter lange Felsklamm (2.075 Meter). Am Eingang in den Hochtaltrog der Teischnitz-Ebene (Brücke) zeigt ein Wegweiser an, dass hier der zur Stüdlhütte führende Steig rechts in die steilen Berghänge abzweigt. Bald blickt man auf den rauschenden Teischnitzbach hinunter und sieht die Eistürme des Teischnitzkees aufblitzen. Es gilt noch einige steile Wiesenhänge, Rippen und Rinnen zu überwinden, ehe man sich abschließend über Schutt und Steinblöcke von Süden der Stüdlhütte nähert (2.802 Meter). Sie steht am Fuß vom Großglockner, das Berg- und Gletscherpanorama ist dementsprechend grandios. Wegbeschreibungen siehe auch: „Osttiroler Wanderbuch“ von Walter Mair.;Kalser Tauernhaus;Stüdlhütte;1440;400;2802;mittelschwierig;14;6,5;Bergeralm#Moaalm#Stüdlhütte;O8
O9;Adlerweg-Etappe O9: Stüdlhütte – Lucknerhaus;Die letzte Etappe am Osttiroler Adlerweg führt von der Stüdlhütte am Fuße des Großglockners zum Lucknerhaus. Hier endet der Adlerweg und die Kalser Glocknerstraße schlängelt sich von dort abwärts ins Tal.;Von der Stüdlhütte auf der Fanotscharte (2.802 Meter) steigt man in nördlicher Richtung fünf Minuten bergan, orientiert sich dann nach Osten am Wegweiser Pfortscharte, Salmhütte, Glorer Hütte, über den Weg AV 713 in Richtung Süden, Südosten. Dieser verläuft direkt unterhalb der Moränenfelder des Ködnitzkees´und mündet weit oberhalb der sogenannten Viehböden in den Johann-Stüdl-Weg (AV 702 B). Der zunächst gut ausgebaute Weg zieht nun hinauf durch Wiesenhänge, später wieder seilversichert nach oben. Jetzt hinein in das Schuttkar und darin weiter durch das Kar aufwärts. Bei einer Steiggabelung im Kar nicht rechts in die Felsen, sondern weiter Richtung Salmhütte durch das Kar aufwärts. Der Steig leitet in dieser Passage in kurzen Serpentinen durch Schutt und Geröll, aber mit gutem Untergrund. Steil geht es hinauf zur Pfortscharte. Auf der anderen Seite ein kurzes Stück in ähnlichem Gelände abwärts, bei der Steiggabelung Richtung „Glorer Hütte“ orientieren. Von hier geht es am Luckner Weg Richtung Süden, auf grünen, welligen Bergmatten u.a. am Oberen Glatzsee vorbei und man erreicht nach einiger Zeit die Glorer Hütte am Berger Törl (2.651 Meter). Im breiten, von Wiesenhängen geprägten Bergtal finden sich Stirnmoränen ehemaliger Gletschertätigkeit, die bis in die Mulde mit dem Glatzbach reichen. Nach der Glorer Hütte verläuft der Weg parallel zur Materialseilbahn auf zum Teil erdigem Steig und über einige kleinere Bächlein weiter talwärts zwischen Bergwiesen hinunter, wo man sich zum Schutz der Natur auf dem Steig halten sollte. Schließlich mündet der Steig in einen breiten Weg, der zum Lucknerhaus führt. Etappenziel und Ende des Adlerweges Osttirol! Oder der schöne Beginn, wenn man ihn von dieser Seite aus in Angriff nimmt. Wegbeschreibungen siehe auch: „Osttiroler Wanderbuch“ von Walter Mair.;Stüdlhütte;Lucknerhaus;450;1330;2824;mittelschwierig;11;5,5;Glorer Hütte#Luchknerhaus;O9
